a: 0x0,b: 0x0,c: 0x58d40f,d: -0x5c290b,t1: 0x0,t2: 0xb4fd1a,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5784285.0,d: -6075425.0,t1: 0.0,t2: 11859710.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x5842dd,d: -0x5cb421,t1: 0x0,t2: 0xb4f6fe,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5746898.0,d: -6110802.0,t1: 0.0,t2: 11857700.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x57b0d2,d: -0x5d3e52,t1: 0x0,t2: 0xb4ef24,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5709295.0,d: -6145949.0,t1: 0.0,t2: 11855244.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x571def,d: -0x5dc79d,t1: 0x0,t2: 0xb4e58c,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5671477.0,d: -6180865.0,t1: 0.0,t2: 11852342.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x568a35,d: -0x5e5001,t1: 0x0,t2: 0xb4da36,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5633445.0,d: -6215549.0,t1: 0.0,t2: 11848994.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x55f5a5,d: -0x5ed77d,t1: 0x0,t2: 0xb4cd22,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5595201.0,d: -6249998.0,t1: 0.0,t2: 11845199.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x556041,d: -0x5f5e0e,t1: 0x0,t2: 0xb4be4f,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5556746.0,d: -6284212.0,t1: 0.0,t2: 11840958.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x54ca0a,d: -0x5fe3b4,t1: 0x0,t2: 0xb4adbe,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5518082.0,d: -6318189.0,t1: 0.0,t2: 11836271.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x543302,d: -0x60686d,t1: 0x0,t2: 0xb49b6f,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5479211.0,d: -6351928.0,t1: 0.0,t2: 11831139.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x539b2b,d: -0x60ec38,t1: 0x0,t2: 0xb48763,t3: 0x0, t4: 0x0, t5: 0x0
a: 1.0,b: 210.0,c: 5440133.0,d: -6385428.0,t1: 211.0,t2: 11825561.0,t3: -6385428.0, t4: 1142427930.0, t5: 2495193371.0
a: 0x1,b: 0xd2,c: 0x530285,d: -0x616f14,t1: 0xd3,t2: 0xb47199,t3: -0x616f14, t4: 0x4418111a, t5: 0x94b9a11b
a: 0.0,b: 0.0,c: 5400850.0,d: -6418688.0,t1: 0.0,t2: 11819538.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x526912,d: -0x61f100,t1: 0x0,t2: 0xb45a12,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5361364.0,d: -6451706.0,t1: 0.0,t2: 11813070.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x51ced4,d: -0x6271fa,t1: 0x0,t2: 0xb440ce,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5321677.0,d: -6484482.0,t1: 0.0,t2: 11806159.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x5133cd,d: -0x62f202,t1: 0x0,t2: 0xb425cf,t3: 0x0, t4: 0x0, t5: 0x0
a: -270.0,b: -448.0,c: 5281788.0,d: -6517013.0,t1: -718.0,t2: 11798801.0,t3: 1759593510.0, t4: -2366241024.0, t5: -8471539118.0
a: -0x10e,b: -0x1c0,c: 0x5097fc,d: -0x637115,t1: -0x2ce,t2: 0xb40911,t3: 0x68e14426, t4: -0x8d09f900, t5: -0x1f8f16dae
a: 0.0,b: 0.0,c: 5241701.0,d: -6549299.0,t1: 0.0,t2: 11791000.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4ffb65,d: -0x63ef33,t1: 0x0,t2: 0xb3ea98,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5201417.0,d: -6581338.0,t1: 0.0,t2: 11782755.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4f5e09,d: -0x646c5a,t1: 0x0,t2: 0xb3ca63,t3: 0x0, t4: 0x0, t5: 0x0
a: 215.0,b: 86.0,c: 5160937.0,d: -6613129.0,t1: 301.0,t2: 11774066.0,t3: -1421822735.0, t4: 443840582.0, t5: 3543993866.0
a: 0xd7,b: 0x56,c: 0x4ebfe9,d: -0x64e889,t1: 0x12d,t2: 0xb3a872,t3: -0x54bf4b0f, t4: 0x1a747846, t5: 0xd33d0e0a
a: 0.0,b: 0.0,c: 5120262.0,d: -6644672.0,t1: 0.0,t2: 11764934.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4e2106,d: -0x6563c0,t1: 0x0,t2: 0xb384c6,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 5079395.0,d: -6675964.0,t1: 0.0,t2: 11755359.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x4d8163,d: -0x65ddfc,t1: 0x0,t2: 0xb35f5f,t3: 0x0, t4: 0x0, t5: 0x0
a: -449.0,b: -466.0,c: 5038336.0,d: -6707005.0,t1: -915.0,t2: 11745341.0,t3: 3011445245.0, t4: -2347864576.0, t5: -10746987015.0
a: -0x1c1,b: -0x1d2,c: 0x4ce100,d: -0x66573d,t1: -0x393,t2: 0xb3383d,t3: 0xb37f01fd, t4: -0x8bf19200, t5: -0x280920207
a: 0.0,b: 0.0,c: 4997088.0,d: -6737793.0,t1: 0.0,t2: 11734881.0,t3: 0.0, t4: 0.0, t5: 0.0
